xi,Cubic,B-spline,Exact,Absolute,Error,
0.00,0.0000000000,0.0000000000,0.0000000000,
0.05,0.0275351538,0.0275370031,0.0000018493,
0.10,0.0542500333,0.0542570003,0.0000069670,
0.15,0.0806989046,0.0807133503,0.0000144457,
0.20,0.1074050277,0.1074285617,0.0000235340,
0.25,0.1348698493,0.1349034523,0.0000336029,
0.30,0.1635814257,0.1636255435,0.0000441179,
0.35,0.1940222368,0.1940768511,0.0000546144,
0.40,0.2266765374,0.2267412146,0.0000646773,
0.45,0.2620373739,0.2621112965,0.0000739226,
0.50,0.3006133878,0.3006953693,0.0000819815,
0.55,0.3429355142,0.3430239998,0.0000884855,
0.60,0.3895636812,0.3896567348,0.0000930536,
0.65,0.4410936054,0.4411888843,0.0000952789,
0.70,0.4981637819,0.4982584988,0.0000947169,
0.75,0.5614627582,0.5615536314,0.0000908731,
0.80,0.6317367884,0.6318199790,0.0000831905,
0.85,0.7097979583,0.7098689951,0.0000710368,
0.90,0.7965328796,0.7965865702,0.0000536906,
0.95,0.8929120525,0.8929423791,0.0000303266,
1.00,1.0000000000,1.0000000000,0.0000000000,